"id","id_transaction","item_id","user_id"
14,11,8,U98e1440f1947bb4e81cdf9fa66b90bcc
17,11,46,U98e1440f1947bb4e81cdf9fa66b90bcc
16,11,47,U98e1440f1947bb4e81cdf9fa66b90bcc
21,12,117,U87d78f99a3aada1b1fef8f65f1b68330
22,12,121,U87d78f99a3aada1b1fef8f65f1b68330
23,12,119,U87d78f99a3aada1b1fef8f65f1b68330
29,14,2,U98e1440f1947bb4e81cdf9fa66b90bcc
30,14,40,U98e1440f1947bb4e81cdf9fa66b90bcc
31,15,117,U98e1440f1947bb4e81cdf9fa66b90bcc
32,15,121,U98e1440f1947bb4e81cdf9fa66b90bcc
33,16,2,U87d78f99a3aada1b1fef8f65f1b68330
34,16,1,U87d78f99a3aada1b1fef8f65f1b68330
35,16,1,U87d78f99a3aada1b1fef8f65f1b68330
39,17,75,U98e1440f1947bb4e81cdf9fa66b90bcc
46,22,5,U98e1440f1947bb4e81cdf9fa66b90bcc
50,26,5,U98e1440f1947bb4e81cdf9fa66b90bcc
51,27,5,U98e1440f1947bb4e81cdf9fa66b90bcc
52,28,5,U98e1440f1947bb4e81cdf9fa66b90bcc
28,13,8,U98e1440f1947bb4e81cdf9fa66b90bcc
40,18,138,U98e1440f1947bb4e81cdf9fa66b90bcc
41,18,40,U98e1440f1947bb4e81cdf9fa66b90bcc
42,19,1,U98e1440f1947bb4e81cdf9fa66b90bcc
43,19,1,U98e1440f1947bb4e81cdf9fa66b90bcc
44,20,2,U98e1440f1947bb4e81cdf9fa66b90bcc
45,21,1,U98e1440f1947bb4e81cdf9fa66b90bcc
47,23,5,U98e1440f1947bb4e81cdf9fa66b90bcc
48,24,5,U98e1440f1947bb4e81cdf9fa66b90bcc
49,25,5,U98e1440f1947bb4e81cdf9fa66b90bcc
53,29,5,U98e1440f1947bb4e81cdf9fa66b90bcc
54,30,8,U98e1440f1947bb4e81cdf9fa66b90bcc
55,31,12,U98e1440f1947bb4e81cdf9fa66b90bcc
